1, 1, Aloe Vera
2, 1, Aloe Vera
3, 4, Aiyu
4, 5, Cheese Foam
5, 5, Aloe Vera
6, 7, Aloe Vera
7, 10, Agar Boba
8, 12, Black Glutinous Rice
9, 12, Black Glutinous Rice
10, 16, Agar Boba
11, 16, Boba
12, 19, Taro Mochi
13, 20, Lychee Coconut Jelly
14, 21, Black Glutinous Rice
15, 21, Sago
16, 23, Lychee Coconut Jelly
17, 23, Lychee Coconut Jelly
18, 24, Aloe Vera
19, 24, Boba
20, 24, Agar Boba
21, 26, Boba
22, 29, Cheese Foam
23, 30, Red Bean
24, 30, Cheese Foam
25, 30, Red Bean
26, 32, Lychee Coconut Jelly
27, 32, Boba
28, 40, Taro Mochi
29, 41, Agar Boba
30, 44, Taro Mochi
31, 45, Taro Mochi
32, 47, Agar Boba
33, 47, Grass Jelly
34, 48, Red Bean
35, 49, Black Glutinous Rice
36, 49, Agar Boba
37, 49, Taro Mochi
38, 50, Taro Mochi
39, 51, Boba
40, 55, Grass Jelly
41, 56, Black Glutinous Rice
42, 57, Taro Mochi
43, 57, Cheese Foam
44, 58, Red Bean
45, 59, Sago
46, 65, Agar Boba
47, 66, Red Bean
48, 66, Aiyu
49, 66, Red Bean
50, 68, Aiyu
51, 70, Lychee Coconut Jelly
52, 71, Lychee Coconut Jelly
53, 72, Aiyu
54, 73, Aloe Vera
55, 73, Black Glutinous Rice
56, 73, Taro Mochi
57, 74, Taro Mochi
58, 74, Lychee Coconut Jelly
59, 74, Grass Jelly
60, 75, Grass Jelly
61, 75, Black Glutinous Rice
62, 75, Aiyu
63, 77, Grass Jelly
64, 80, Black Glutinous Rice
65, 83, Agar Boba
66, 83, Agar Boba
67, 85, Aloe Vera
68, 86, Lychee Coconut Jelly
69, 86, Boba
70, 86, Agar Boba
71, 90, Black Glutinous Rice
72, 92, Aloe Vera
73, 92, Black Glutinous Rice
74, 95, Aloe Vera
75, 96, Sago
76, 97, Agar Boba
77, 98, Agar Boba
78, 99, Sago
79, 101, Black Glutinous Rice
80, 101, Lychee Coconut Jelly
81, 101, Black Glutinous Rice
82, 102, Black Glutinous Rice
83, 103, Black Glutinous Rice
84, 104, Red Bean
85, 105, Grass Jelly
86, 105, Aiyu
87, 105, Black Glutinous Rice
88, 107, Sago
89, 108, Boba
90, 111, Aiyu
91, 114, Grass Jelly
92, 114, Agar Boba
93, 115, Cheese Foam
94, 116, Aiyu
95, 117, Sago
96, 117, Sago
97, 117, Cheese Foam
98, 118, Black Glutinous Rice
99, 120, Red Bean
100, 121, Lychee Coconut Jelly
101, 123, Grass Jelly
102, 123, Boba
103, 124, Lychee Coconut Jelly
104, 124, Aloe Vera
105, 126, Black Glutinous Rice
106, 129, Aiyu
107, 130, Aloe Vera
108, 131, Boba
109, 135, Grass Jelly
110, 135, Aloe Vera
111, 139, Agar Boba
112, 140, Red Bean
113, 141, Boba
114, 141, Grass Jelly
115, 142, Grass Jelly
116, 144, Agar Boba
117, 144, Aiyu
118, 147, Grass Jelly
119, 151, Agar Boba
120, 151, Aloe Vera
121, 152, Aloe Vera
122, 152, Black Glutinous Rice
123, 153, Aloe Vera
124, 154, Sago
125, 158, Aiyu
126, 158, Black Glutinous Rice
127, 159, Black Glutinous Rice
128, 159, Grass Jelly
129, 160, Sago
130, 161, Aiyu
131, 161, Agar Boba
132, 161, Black Glutinous Rice
133, 162, Black Glutinous Rice
134, 163, Boba
135, 165, Taro Mochi
136, 166, Red Bean
137, 169, Cheese Foam
138, 170, Boba
139, 170, Black Glutinous Rice
140, 170, Sago
141, 171, Aloe Vera
