1 9 2022-05-31 Card 17.14 18:50:19
2 3 2022-05-03 Card 26.27 20:05:08
3 2 2022-12-24 Card 11.52 16:54:17
4 3 2022-03-12 Card 4.56 17:30:14
5 5 2022-05-04 Cash 7.23 14:14:55
6 5 2022-09-27 Card 20.89 17:20:42
7 5 2022-07-17 Card 5.89 11:42:13
8 7 2022-04-14 Card 18.76 20:51:08
9 1 2022-08-15 Card 6.70 17:51:53
10 2 2022-11-23 Cash 6.96 21:22:15
11 6 2022-07-13 Card 4.56 10:46:56
12 5 2022-05-27 Card 26.52 21:10:33
13 3 2022-10-22 Cash 14.99 18:48:38
14 7 2022-12-14 Card 25.18 20:11:43
15 4 2022-01-29 Card 20.62 15:04:37
16 4 2022-04-27 Cash 10.98 16:34:47
17 8 2022-04-18 Card 28.40 19:38:42
18 10 2022-05-22 Card 8.58 13:52:23
19 6 2022-10-12 Card 17.70 17:19:09
20 2 2022-11-02 Card 29.75 17:03:38
21 2 2022-10-15 Cash 13.93 11:54:54
22 8 2022-02-02 Card 12.07 13:47:06
23 10 2022-03-19 Card 14.19 12:41:08
24 10 2022-08-10 Card 5.35 12:32:52
25 2 2022-02-07 Card 6.17 12:48:24
26 10 2022-12-01 Card 14.20 22:42:42
27 3 2022-06-20 Card 29.75 17:52:43
28 1 2022-05-19 Card 6.16 11:15:06
29 10 2022-07-09 Card 20.10 12:22:30
30 9 2022-02-11 Card 5.36 12:35:23
31 2 2022-05-13 Card 19.04 21:12:06
32 6 2022-02-09 Card 18.49 16:30:59
33 6 2022-02-03 Card 6.17 11:34:47
34 3 2022-04-28 Card 5.35 12:25:15
35 2 2022-10-05 Card 5.63 18:59:00
36 2 2022-12-28 Card 11.79 16:21:09
37 10 2022-11-17 Card 4.56 16:03:28
38 4 2022-05-17 Card 5.89 12:10:43
39 1 2022-02-14 Card 7.24 20:15:28
40 7 2022-11-07 Card 19.55 12:57:49
41 9 2022-05-22 Cash 21.17 22:21:20
42 9 2022-12-17 Card 6.42 12:43:57
43 4 2022-06-11 Card 13.93 10:50:35
44 8 2022-06-02 Cash 7.51 15:44:09
45 3 2022-12-03 Card 6.42 15:36:28
46 4 2022-11-18 Cash 6.16 21:39:48
47 5 2022-05-29 Cash 6.70 10:03:34
48 7 2022-02-16 Cash 13.40 18:35:57
49 6 2022-06-15 Cash 5.35 22:20:46
50 8 2022-11-22 Card 27.60 14:23:56
51 7 2022-04-23 Card 15.00 10:56:46
52 3 2022-04-01 Card 5.36 20:10:18
53 1 2022-06-29 Cash 13.35 11:43:00
54 4 2022-06-14 Cash 6.97 12:52:10
55 1 2022-11-13 Card 5.63 16:06:33
56 3 2022-05-18 Card 4.56 18:59:23
57 6 2022-03-06 Card 19.57 15:09:21
58 5 2022-07-03 Card 36.19 11:18:28
59 4 2022-06-16 Card 4.56 12:00:12
60 8 2022-03-24 Card 5.35 18:53:33
61 7 2022-11-25 Card 27.87 21:21:08
62 3 2022-07-30 Cash 12.58 12:59:23
63 3 2022-08-13 Card 6.96 15:27:17
64 2 2022-06-23 Card 8.31 11:08:40
65 9 2022-05-26 Card 8.04 20:01:41
66 8 2022-01-23 Card 5.09 21:07:33
67 9 2022-03-10 Cash 17.42 14:42:24
68 4 2022-02-22 Card 27.34 17:04:01
69 6 2022-01-13 Cash 16.61 10:59:58
70 6 2022-03-21 Card 24.65 19:22:53
71 10 2022-05-18 Card 4.56 19:39:31
72 6 2022-08-23 Card 34.56 13:12:20
